Material_ID,Material_Description,UNSPSC_Code
MAT0001,Hygienic DIN centrifugal pump for food processing high capacity up to 1000 mÂ³/h brewing dairy beverage industries stainless steel AISI 316L,40141600
MAT0002,Industrial centrifugal pump stainless steel sanitary design pharmaceutical chemical cosmetic applications DIN standard aseptic flanges,40141600
MAT0003,High capacity centrifugal pump food grade stainless steel brewing dairy ultra-filtering processes hygienic mechanical seal,40141600
MAT0004,Centrifugal pump for beverage industry stainless steel construction pharmaceutical grade DIN compliant double curvature impeller,40141600
MAT0005,Food processing centrifugal pump AISI 316L stainless steel dairy brewing applications volute casing design,40141600
MAT0006,Sanitary centrifugal pump for chemical industry stainless steel hygienic design DIN 11864-2 flanges pharmaceutical applications,40141600
MAT0007,Industrial pump stainless steel centrifugal type food beverage pharmaceutical dairy brewing high flow capacity,40141600
MAT0008,Hygienic pump centrifugal design stainless steel AISI 316L food processing chemical pharmaceutical cosmetic applications,40141600
MAT0009,Ball valve A640 stainless steel AISI 316L for viscous fluids food processing beverage wine making cosmetic chemical industries,40151500
MAT0010,Stainless steel ball valve pneumatic actuator food grade EPDM gasket DN 25-100 low pressure loss compact design,40151500
MAT0011,Manual ball valve stainless steel AISI 304L food processing applications PTFE ball guide interchangeable actuator robust design,40151500
MAT0012,Industrial ball valve stainless steel automatic operation viscous fluids solid particles beverage wine oil making applications,40151500
MAT0013,Hygienic ball valve stainless steel 316L food beverage pharmaceutical applications compact robust low pressure loss design,40151500
MAT0014,Ball valve with pneumatic actuator stainless steel food grade chemical cosmetic applications EPDM NBR FPM gasket options,40151500
MAT0015,Stainless steel valve ball type manual or automatic operation food processing beverage applications interchangeable handles,40151500
MAT0016,Industrial valve ball design stainless steel AISI 316L viscous fluid handling food cosmetic chemical wine making applications,40151500
MAT0017,Centrifugal pump industrial grade stainless steel construction high capacity food processing pharmaceutical brewing applications,40141600
MAT0018,Ball valve compact design stainless steel 304L 316L food beverage chemical applications low pressure loss PTFE guide,40151500
MAT0019,Hygienic centrifugal pump stainless steel aseptic design dairy beverage pharmaceutical ultra-filtering textile chemical applications,40141600
MAT0020,Industrial ball valve stainless steel construction food processing applications automatic pneumatic operation viscous fluids,40151500
